route_id,route_short_name,route_long_name,scheduled_trips,directions,first_departure_seconds,last_departure_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations,min_direction_trips,max_direction_trips,directional_balance_ratio,first_departure,last_departure,trips_early_morning,trips_am_peak,trips_midday,trips_pm_peak,trips_evening,trips_late_night,trips_other,trips_unknown,median_headway_early_morning_min,median_headway_am_peak_min,median_headway_midday_min,median_headway_pm_peak_min,median_headway_evening_min,median_headway_late_night_min,all_day_service_flag
108,108,Financial Express,26,2,18720,71760,74400,14.73,15.47,23.88,24.5,30.0,30.0,24.0,13,13,1.0,05:12,19:56,2,8,3,11,2,0,0,0,30.0,22.5,30.0,23.0,30.0,,1
7,7,Airport,108,2,7500,92760,95820,23.68,24.53,26.39,25.0,34.0,42.0,106.0,54,54,1.0,02:05,25:46,17,15,29,19,14,14,0,0,23.0,24.0,25.0,26.0,25.0,34.0,1
10,10,Bristol,102,2,16680,90480,93300,20.5,21.28,24.41,25.0,31.0,35.0,100.0,50,52,0.96,04:38,25:08,7,17,30,21,13,14,0,0,21.0,25.0,25.0,22.0,23.0,31.0,1
44,44,Mississauga Road,102,2,17400,91500,93420,20.58,21.12,24.25,25.0,40.5,50.0,100.0,51,51,1.0,04:50,25:25,6,17,32,24,13,10,0,0,22.0,16.0,25.0,16.0,26.0,48.0,1
23,23,Lakeshore,96,2,15600,94440,96060,21.9,22.35,27.62,26.0,36.0,44.0,94.0,48,48,1.0,04:20,26:14,8,16,29,17,12,14,0,0,21.5,24.0,26.0,28.0,30.0,39.0,1
22,22,Finch,88,2,15660,91500,92460,21.07,21.33,29.12,26.0,44.0,44.0,86.0,44,44,1.0,04:21,25:25,6,15,29,18,10,10,0,0,41.0,24.0,25.0,27.0,44.0,43.5,1
9,9,Rathburn,98,2,15180,94500,96720,22.03,22.65,26.62,27.0,30.0,46.0,96.0,49,49,1.0,04:13,26:15,9,15,27,18,13,16,0,0,20.0,22.0,28.0,26.5,27.0,27.0,1
6,6,Credit Woodlands,93,2,18000,94680,96360,21.3,21.77,27.73,28.0,35.0,38.0,91.0,45,48,0.94,05:00,26:18,6,13,26,20,13,15,0,0,27.0,30.0,30.0,26.0,28.0,36.0,1
48,48,Erin Mills,87,2,15300,91800,93900,21.25,21.83,29.47,28.0,43.0,45.0,85.0,43,44,0.98,04:15,25:30,7,16,27,18,9,10,0,0,45.0,22.0,28.0,24.0,38.0,45.0,1
31,31,Ogden,100,2,14400,93120,94320,21.87,22.2,26.65,30.0,31.3,35.0,98.0,50,50,1.0,04:00,25:52,9,15,24,24,12,16,0,0,30.0,26.0,30.0,20.5,30.0,30.0,1
