route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trips,shape_path_km,shape_points,start_lat,start_lon,end_lat,end_lon,straight_line_km,directness_ratio
1,1,Dundas,0,10392,86,21.442064046976807,625,43.51804,-79.690589,43.635263,-79.539057,17.857935084605394,0.832845897926662
1,1,Dundas,1,10394,75,21.064079460919842,590,43.635263,-79.539057,43.51804,-79.690589,17.857935084605394,0.847790909530948
1,1,Dundas,1,10393,11,23.00079917320024,635,43.635263,-79.539057,43.51804,-79.690589,17.857935084605394,0.7764049827195945
2,2,Hurontario,0,20021,116,8.229336817056076,206,43.555187,-79.587472,43.594036,-79.646369,6.416577038349867,0.7797198220214909
2,2,Hurontario,0,20022,1,6.555457299098726,166,43.561522,-79.590427,43.594036,-79.646369,5.777399063026094,0.8813113714920234
2,2,Hurontario,1,20019,115,8.406544480292972,209,43.594036,-79.646369,43.555187,-79.587472,6.416577038349867,0.7632835409830896
3,3,Bloor,0,30126,90,13.825171220646933,511,43.593491,-79.646228,43.635634,-79.538048,9.889712002806359,0.7153410142246023
3,3,Bloor,1,30127,90,13.663082586947644,513,43.635634,-79.538048,43.594321,-79.646566,9.870338755218906,0.7224093605822196
4,4,North Service Road,0,40198,25,18.259386457426196,787,43.582205,-79.624613,43.609881,-79.558312,6.162598149230307,0.3375030241897281
4,4,North Service Road,0,40199,1,16.239090520183606,798,43.556095,-79.628868,43.609881,-79.558312,8.250251229792788,0.5080488479042918
4,4,North Service Road,1,40201,26,17.945694670214863,784,43.609881,-79.558312,43.582205,-79.624613,6.162598149230307,0.3434025966940472
4,4,North Service Road,1,40189,2,5.31671792432733,211,43.571646,-79.610445,43.582205,-79.624613,1.637410119287692,0.30797385578714087
4,4,North Service Road,1,40200,1,10.865852997402012,577,43.572585,-79.596605,43.582205,-79.624613,2.4969116906705744,0.22979435588421612
5,5,Dixie,0,50241,71,16.00750204519767,282,43.591746,-79.54386,43.673588,-79.680466,14.271954438728322,0.8915791107463878
5,5,Dixie,1,50239,70,17.79592697338283,350,43.673588,-79.680466,43.591746,-79.54386,14.271954438728322,0.8019787033333372
6,6,Credit Woodlands,0,60143,48,12.08745770029109,495,43.556413,-79.643933,43.594321,-79.646566,4.2205163332682085,0.34916493094876105
6,6,Credit Woodlands,1,60142,44,10.301515261701034,391,43.593594,-79.6464,43.556413,-79.643933,4.139118098663321,0.4017970166050941
6,6,Credit Woodlands,1,60144,1,5.949524669685758,239,43.569146,-79.653745,43.556413,-79.643933,1.6216228609296213,0.2725634316960101
7,7,Airport,0,70186,54,25.858978356884847,751,43.593906,-79.646886,43.721571,-79.640811,14.204129916311969,0.5492919990990355
7,7,Airport,1,70185,54,25.800020002854176,760,43.721571,-79.640811,43.594321,-79.646566,14.157146079859725,0.5487261668127995
8,8,Cawthra,0,80241,34,13.667713739616403,506,43.555383,-79.587256,43.594321,-79.646566,6.4478444784911835,0.47175735469216434
8,8,Cawthra,0,80242,1,9.474928681976884,361,43.576014,-79.575028,43.594321,-79.646566,6.110987475200859,0.6449639549081904
8,8,Cawthra,0,80245,1,9.631909757611911,365,43.575024,-79.573639,43.594321,-79.646566,6.253543139745925,0.6492526712891876
8,8,Cawthra,1,80246,35,13.45603072408686,482,43.593778,-79.646704,43.555383,-79.587256,6.415766458521172,0.47679487287708705
9,9,Rathburn,0,90176,49,16.50722646527806,554,43.540278,-79.742079,43.594321,-79.646566,9.763683181408151,0.5914793258543742
9,9,Rathburn,1,90175,49,16.498865908598027,556,43.593778,-79.646704,43.540278,-79.742079,9.71787118002232,0.5890023734878687
10,10,Bristol,0,100200,50,20.444043274786516,826,43.593778,-79.646704,43.5838,-79.75894,9.107250047365884,0.44547205877801027
10,10,Bristol,1,100198,51,20.594636336743353,879,43.583869,-79.758894,43.593778,-79.646704,9.10263580320991,0.4419906064070524
10,10,Bristol,1,100201,1,10.979909260560538,463,43.586605,-79.697472,43.593778,-79.646704,4.165795628291936,0.3794016443519559
11,11,Westwood,0,110209,85,16.7317841507053,561,43.635513,-79.538189,43.721467,-79.640907,12.632685280821104,0.7550112508646363
11,11,Westwood,1,110211,87,16.951875447514823,721,43.721467,-79.640907,43.635804,-79.538386,12.597834800241964,0.7431528646636458
13,13,Glen Erin,0,130138,48,17.235573304180384,672,43.512794,-79.632895,43.5838,-79.75894,12.865940036933745,0.7464758966743038
13,13,Glen Erin,0,130137,1,8.45749823123424,348,43.553824,-79.71184,43.5838,-79.75894,5.050700304532216,0.5971860905485694
13,13,Glen Erin,0,130140,1,13.18127126304407,579,43.537264,-79.666809,43.5838,-79.75894,9.049134418533473,0.6865145430929911
13,13,Glen Erin,1,130139,52,17.22541928938436,652,43.583276,-79.758415,43.512794,-79.632895,12.796826496355083,0.7429036287227841
14,14,Lorne Park,0,140056,27,9.12229708211972,315,43.512729,-79.633192,43.555306,-79.58734,6.0063593157430795,0.6584261904291545
14,14,Lorne Park,1,140058,14,8.688714387798917,355,43.555306,-79.58734,43.512729,-79.633192,6.0063593157430795,0.6912828581610967
14,14,Lorne Park,1,140057,13,17.619756072619055,537,43.555306,-79.58734,43.512729,-79.633192,6.0063593157430795,0.3408877677413996
15,15,Drew,0,150080,30,12.433066854470761,419,43.671522,-79.685454,43.721602,-79.640783,6.626271240951124,0.5329554902673436
15,15,Drew,0,150082,3,3.158137262817624,142,43.710618,-79.656505,43.721602,-79.640783,1.7573604365836148,0.556454735921052
15,15,Drew,1,150085,32,11.445070405156876,424,43.721602,-79.640783,43.671522,-79.685454,6.626271240951124,0.5789629077306054
16,16,Malton,0,160073,26,10.673558139670568,558,43.721727,-79.64067,43.721482,-79.640893,0.03260855130013645,0.003055077873135836
16,16,Malton,1,160072,20,10.54736174283964,552,43.721727,-79.64067,43.721482,-79.640893,0.03260855130013645,0.0030916310727916053
16,16,Malton,1,160071,4,6.92987693968246,379,43.721727,-79.64067,43.721482,-79.640893,0.03260855130013645,0.004705502216556047
17,17,Hurontario,0,170034,74,9.232254136298415,214,43.594036,-79.646369,43.652133,-79.710486,8.268542379899275,0.8956146849759996
17,17,Hurontario,1,170035,72,9.375630389574264,205,43.652133,-79.710486,43.594036,-79.646369,8.268542379899275,0.8819185522814471
18,18,Derry,0,180057,45,16.16257495970222,264,43.654194,-79.74054,43.721684,-79.640227,11.01706985372968,0.6816407584310229
18,18,Derry,1,180058,45,15.088151731439954,230,43.721684,-79.640227,43.654194,-79.74054,11.01706985372968,0.7301802135759842
20,20,Rathburn,0,200117,51,13.699490284877914,469,43.593906,-79.646886,43.635804,-79.538386,9.899518068502735,0.7226194451504702
20,20,Rathburn,1,200118,53,13.629849415245397,480,43.635377,-79.538346,43.594321,-79.646566,9.835831560145284,0.7216390482747087
22,22,Finch,0,220056,44,5.295587783280603,187,43.721529,-79.640401,43.730893,-79.59962,3.438411470333066,0.6492974172175802
22,22,Finch,1,220055,44,5.789389230655568,192,43.730893,-79.59962,43.721529,-79.640401,3.438411470333066,0.593916099495648
23,23,Lakeshore,0,230097,48,13.084987740642896,275,43.512914,-79.633274,43.591746,-79.54386,11.347255091479276,0.8671964633359113
23,23,Lakeshore,1,230096,48,12.449918689224713,272,43.591746,-79.54386,43.512914,-79.633274,11.347255091479276,0.9114320643154254
24,24,Northwest,0,240068,17,16.17021623488193,526,43.663296,-79.592269,43.721602,-79.640783,7.566240218396305,0.4679121236532772
24,24,Northwest,1,240069,19,15.682929131615719,493,43.721602,-79.640783,43.663296,-79.592269,7.566240218396305,0.4824507051519655
25,25,Traders Loop,0,250016,21,7.6894969656520455,235,43.620225,-79.669139,43.620225,-79.669139,0.0,0.0
26,26,Burnhamthorpe,0,260384,74,21.60033179768662,500,43.542913,-79.683233,43.635213,-79.538536,15.52884993328163,0.7189171943620217
26,26,Burnhamthorpe,0,260386,1,2.202809333573083,59,43.644502,-79.524197,43.635213,-79.538536,1.5486406822540206,0.7030298349707991
26,26,Burnhamthorpe,1,260385,77,22.06821173476026,589,43.635213,-79.538536,43.542913,-79.683233,15.52884993328163,0.7036750471639577
26,26,Burnhamthorpe,1,260379,4,4.24906981657126,200,43.570247,-79.662141,43.542913,-79.683233,3.482353064586004,0.8195565652992848
28,28,Confederation,0,280137,50,6.984442669361263,332,43.572124,-79.609912,43.594321,-79.646566,3.8481736497987593,0.5509635960904351
28,28,Confederation,0,280136,14,8.526606992047846,363,43.572124,-79.609912,43.594321,-79.646566,3.8481736497987593,0.4513135944212832
28,28,Confederation,0,280133,1,3.44119481084085,165,43.575813,-79.636155,43.594321,-79.646566,2.2222779107637853,0.6457867202876479
28,28,Confederation,1,280135,51,6.37224685498426,288,43.593667,-79.646522,43.572124,-79.609912,3.7992008121291643,0.5962105515666732
28,28,Confederation,1,280134,13,7.914411170009344,315,43.593667,-79.646522,43.572124,-79.609912,3.7992008121291643,0.48003581448052046
29,29,Park Royal,0,290118,33,13.437001377880078,638,43.512729,-79.633192,43.543337,-79.683859,5.316874597496151,0.39568907139123777
29,29,Park Royal,0,290114,2,1.3618196987935811,44,43.537834,-79.68742,43.543337,-79.683859,0.6758816022039186,0.4963076997657425
29,29,Park Royal,1,290117,33,16.78904551085008,899,43.543337,-79.683859,43.512729,-79.633192,5.316874597496151,0.3166871275713721
30,30,Rexdale,0,300092,17,14.06024281148261,638,43.721868,-79.640543,43.71413,-79.556463,6.811755216085046,0.48446924476454095
30,30,Rexdale,0,300093,9,14.523856010100115,674,43.721868,-79.640543,43.71413,-79.556463,6.811755216085046,0.4690045957043395
30,30,Rexdale,1,300094,16,13.333955647135955,502,43.71413,-79.556463,43.721868,-79.640543,6.811755216085046,0.5108577976669786
30,30,Rexdale,1,300095,6,13.797568744285371,536,43.71413,-79.556463,43.721868,-79.640543,6.811755216085046,0.49369242816103487
31,31,Ogden,0,310031,50,7.978186971895449,193,43.591316,-79.544215,43.608264,-79.578369,3.3339584593826457,0.4178842224589489
31,31,Ogden,1,310029,50,7.9470535470821,202,43.608264,-79.578369,43.591316,-79.544215,3.3339584593826457,0.41952132820430876
35,35,Eglinton,0,350356,79,27.898003691846196,608,43.540278,-79.742079,43.635396,-79.538895,19.484975523748346,0.6984361941798458
35,35,Eglinton,1,350361,80,29.259983965309065,771,43.635396,-79.538895,43.540278,-79.742079,19.484975523748346,0.6659257075072198
36,36,Ridgeway,0,360044,33,12.987281049251676,509,43.543684,-79.684324,43.542567,-79.712011,2.235037821609999,0.17209436010001347
36,36,Ridgeway,1,360041,33,11.537176545073935,495,43.542567,-79.712011,43.543684,-79.684324,2.235037821609999,0.1937248522528937
38,38,Creditview,0,380291,37,25.67929137464109,930,43.582102,-79.624732,43.5838,-79.75894,10.811721138108235,0.421028796331392
38,38,Creditview,0,380273,1,3.6688213822325966,77,43.591878,-79.78799,43.5838,-79.75894,2.5062010717563,0.6831079550215648
38,38,Creditview,0,380285,1,20.460602074855252,801,43.569146,-79.653745,43.5838,-79.75894,8.629309055627157,0.4217524501017502
38,38,Creditview,1,380284,38,25.781089050552,939,43.583153,-79.758612,43.582102,-79.624732,10.784344110657447,0.4183044435986129
39,39,Britannia,0,390172,23,27.267177942138403,681,43.583223,-79.758839,43.663198,-79.59099,16.174722333198865,0.5931938526063096
39,39,Britannia,0,390173,23,27.034003780788534,615,43.583223,-79.758839,43.663198,-79.59099,16.174722333198865,0.5983102785793528
39,39,Britannia,0,390174,1,15.524346609576865,303,43.588715,-79.721879,43.663198,-79.59099,13.400907586290835,0.8632187829421372
39,39,Britannia,1,390170,31,27.705093988427382,595,43.663227,-79.590956,43.5838,-79.75894,16.150340419439317,0.5829375791392526
39,39,Britannia,1,390171,18,27.93826709403874,661,43.663227,-79.590956,43.5838,-79.75894,16.150340419439317,0.5780723752506954
42,42,Derry,0,420136,88,22.14252567223836,597,43.583734,-79.75874,43.721684,-79.640227,18.06124512006776,0.8156813449114529
42,42,Derry,1,420137,83,22.15247540635206,619,43.721684,-79.640227,43.5838,-79.75894,18.063512526764182,0.8154173380363895
43,43,Matheson,0,430058,9,24.223920604428443,660,43.663296,-79.592269,43.5838,-79.75894,16.066173950368253,0.6632359068841709
43,43,Matheson,1,430061,9,24.159841938038706,658,43.583595,-79.758586,43.663516,-79.593103,16.01258789435473,0.6627770138323442
44,44,Mississauga Road,0,440141,51,14.744506470927393,636,43.547802,-79.66385,43.5838,-79.75894,8.644051149497995,0.5862557126982838
