route_id,route_short_name,route_long_name,direction_id,trips,first_departure_seconds,last_departure_seconds,first_arrival_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,first_departure,last_departure,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations
43,43,Matheson,0,9,17400,36600,20880,39840,5.333333333333333,6.233333333333333,04:50,10:10,40.0,40.0,40.0,40.0,8.0
43,43,Matheson,1,9,51600,71160,55080,74640,5.433333333333334,6.4,14:20,19:46,40.75,40.0,42.0,42.0,8.0
44,44,Mississauga Road,0,51,20100,91500,22020,93420,19.833333333333332,20.366666666666667,05:35,25:25,23.8,23.0,39.000000000000014,50.0,50.0
44,44,Mississauga Road,1,51,17400,91500,19320,93420,20.583333333333332,21.116666666666667,04:50,25:25,24.7,26.0,40.50000000000001,50.0,50.0
45,45,Winston Churchill,0,52,17460,86400,20160,88680,19.15,19.783333333333335,04:51,24:00,22.529411764705884,20.0,32.0,39.0,51.0
45,45,Winston Churchill,1,51,16200,83100,18900,85740,18.583333333333332,19.316666666666666,04:30,23:05,22.3,20.0,32.0,32.0,50.0
46,46,Tenth Line,0,32,17220,91380,19080,93060,20.6,21.066666666666666,04:47,25:23,39.87096774193548,44.0,46.0,50.0,31.0
46,46,Tenth Line,1,30,15300,89520,16920,91140,20.616666666666667,21.066666666666666,04:15,24:52,42.6551724137931,44.0,48.0,48.0,29.0
48,48,Erin Mills,0,44,15300,89100,17520,91200,20.5,21.083333333333332,04:15,24:45,28.6046511627907,26.0,40.0,45.0,43.0
48,48,Erin Mills,1,43,15300,91800,17400,93900,21.25,21.833333333333332,04:15,25:30,30.357142857142858,28.0,45.0,45.0,42.0
49,49,McDowell,0,26,21300,70800,22020,71460,13.75,13.933333333333334,05:55,19:40,33.0,44.0,48.0,48.0,25.0
49,49,McDowell,1,26,22140,72000,23280,73140,13.85,14.166666666666666,06:09,20:00,33.24,40.0,46.0,48.0,25.0
51,51,Tomken,0,64,15960,92940,17520,95280,21.383333333333333,22.033333333333335,04:26,25:49,20.365079365079364,15.0,34.00000000000002,50.0,63.0
51,51,Tomken,1,65,17640,93240,20340,95580,21.0,21.65,04:54,25:54,20.0,14.0,43.60000000000007,52.0,63.0
53,53,Kennedy,0,42,17940,85080,20160,87180,18.65,19.233333333333334,04:59,23:38,27.29268292682927,22.0,44.0,50.0,41.0
53,53,Kennedy,1,41,19200,87720,21480,89700,19.033333333333335,19.583333333333332,05:20,24:22,28.55,22.0,44.2,50.0,40.0
57,57,Courtneypark,0,57,14400,68940,17280,71940,15.15,15.983333333333333,04:00,19:09,16.232142857142858,13.0,26.0,26.0,56.0
57,57,Courtneypark,1,59,18240,72480,21360,75240,15.066666666666666,15.833333333333334,05:04,20:08,15.586206896551724,13.0,24.300000000000004,26.0,58.0
61,61,Mavis,0,93,15600,95520,17340,97080,22.2,22.633333333333333,04:20,26:32,14.478260869565217,14.0,16.0,20.0,92.0
61,61,Mavis,1,96,13800,95520,15060,97200,22.7,23.166666666666668,03:50,26:32,14.336842105263157,14.0,17.200000000000017,25.0,95.0
66,66,McLaughlin,0,100,18600,90300,20160,91800,19.916666666666668,20.333333333333332,05:10,25:05,12.070707070707071,12.0,16.200000000000003,18.0,99.0
66,66,McLaughlin,1,102,16320,91080,17940,92580,20.766666666666666,21.183333333333334,04:32,25:18,12.336633663366337,12.0,17.0,20.0,101.0
68,68,Terry Fox,0,17,18600,89700,20040,91020,19.75,20.116666666666667,05:10,24:55,74.0625,75.0,75.0,75.0,16.0
68,68,Terry Fox,1,17,20040,91080,21780,92460,19.733333333333334,20.116666666666667,05:34,25:18,74.0,74.0,76.5,77.0,16.0
70,70,Keaton,0,15,52200,66600,55080,69360,4.0,4.766666666666667,14:30,18:30,17.142857142857142,16.0,20.0,20.0,14.0
70,70,Keaton,1,13,22200,34200,24420,36420,3.3333333333333335,3.95,06:10,09:30,16.666666666666668,15.0,20.0,21.0,12.0
