efficiency_rank,route_id,route_short_name,route_long_name,final_efficiency_score,score_band,advocacy_priority_rank,advocacy_priority_score,scheduled_trips,directions,all_day_service_flag,avg_scheduled_speed_kmh,median_scheduled_speed_kmh,avg_duration_min,avg_shape_path_km,avg_directness_ratio,loop_or_circulator_flag,unique_stops,stops_per_km,first_departure,last_departure,full_service_span_hours,median_headway_min,p90_headway_min,directional_balance_ratio,speed_score,frequency_score,service_span_score,directness_score,stop_spacing_efficiency_score,directional_balance_score
23,126,126,Burnhamthorpe Express,58.78,moderate,60,36.85,49,2,1,23.58,23.6,49.61,19.404,0.724,0,28,1.443,06:50,19:10,13.12,20.0,22.0,0.96,75.0,52.374242424242425,19.696969696969695,77.41935483870968,94.93939393939394,28.78787878787879
24,25,25,Traders Loop,58.27,moderate,65,32.31,21,1,0,23.81,23.07,19.43,7.689,0.0,1,25,3.251,06:00,17:58,12.27,20.0,34.0,1.0,78.78787878787878,48.737878787878785,16.666666666666664,50.0,82.81818181818181,81.06060606060606
25,103,103,Hurontario Express,58.23,moderate,23,53.24,104,2,1,17.8,16.64,51.65,14.905,0.968,0,35,2.348,04:10,24:57,21.33,24.0,31.8,1.0,12.121212121212121,55.08636363636363,65.9090909090909,100.0,84.33333333333334,81.06060606060606
26,44,44,Mississauga Road,57.73,moderate,34,51.42,102,2,1,23.58,22.77,38.28,14.963,0.577,0,94,6.282,04:50,25:25,21.12,25.0,40.5,1.0,75.0,49.41212121212121,59.09090909090909,47.58064516129033,25.24242424242425,81.06060606060606
27,45,45,Winston Churchill,55.91,moderate,22,53.73,103,2,1,21.96,21.66,53.81,19.421,0.661,0,116,5.973,04:30,24:00,20.13,20.0,32.0,0.98,60.60606060606061,63.737878787878785,50.0,61.29032258064516,32.81818181818183,48.484848484848484
28,9,9,Rathburn,55.79,moderate,36,50.77,98,2,1,20.57,19.8,48.88,16.503,0.59,0,87,5.272,04:13,26:15,22.65,27.0,30.0,1.0,43.93939393939394,43.38181818181818,83.33333333333334,50.0,58.57575757575758,81.06060606060606
29,71,71,Sheridan,55.44,moderate,64,32.8,8,2,0,28.53,26.27,53.0,24.918,0.69,0,40,1.605,07:17,17:50,11.48,22.0,27.5,0.6,92.42424242424242,42.57878787878788,15.151515151515152,66.12903225806451,90.39393939393939,4.545454545454546
30,18,18,Derry,54.25,low,41,49.27,90,2,1,19.42,19.54,48.59,15.625,0.706,0,66,4.224,04:45,19:38,15.6,15.0,15.0,1.0,27.27272727272727,70.73030303030302,28.78787878787879,69.35483870967742,69.18181818181819,81.06060606060606
31,70,70,Keaton,54.23,low,61,35.95,28,2,0,32.43,31.21,46.25,24.47,0.448,0,40,1.635,06:10,18:30,13.1,15.0,20.0,0.87,95.45454545454545,60.730303030303034,18.181818181818183,17.741935483870968,88.87878787878788,9.090909090909092
32,13,13,Glen Erin,53.74,low,21,53.82,102,2,1,20.07,19.69,52.18,17.105,0.743,0,101,5.905,04:25,26:47,23.0,24.0,31.8,0.96,36.36363636363637,53.49545454545454,86.36363636363636,79.03225806451613,35.848484848484844,28.78787878787879
33,39,39,Britannia,53.06,low,33,51.5,96,2,1,21.65,20.52,77.2,27.356,0.591,0,160,5.849,04:33,25:14,21.7,22.0,38.0,0.96,54.54545454545454,55.53333333333333,72.72727272727273,52.41935483870967,38.878787878787875,28.78787878787879
34,43,43,Matheson,51.47,low,62,35.78,18,2,1,24.27,23.99,59.94,24.192,0.663,0,136,5.622,04:50,19:46,15.9,40.0,42.0,1.0,81.81818181818183,15.616666666666667,31.818181818181817,62.903225806451616,47.96969696969697,81.06060606060606
35,48,48,Erin Mills,50.26,low,38,50.45,87,2,1,20.23,19.34,44.59,14.855,0.577,0,58,3.904,04:15,25:30,21.83,28.0,43.0,0.98,38.63636363636363,38.904545454545456,75.75757575757575,47.58064516129033,75.24242424242425,48.484848484848484
36,53,53,Kennedy,48.88,low,37,50.67,83,2,1,19.52,19.25,43.13,13.836,0.752,0,80,5.782,04:59,24:22,19.93,22.0,44.0,0.98,28.78787878787879,53.03333333333333,46.96969696969697,82.25806451612904,41.90909090909091,48.484848484848484
37,22,22,Finch,47.61,low,25,52.65,88,2,1,18.72,18.28,18.3,5.542,0.622,0,30,5.413,04:21,25:25,21.33,26.0,44.0,1.0,18.181818181818183,42.85909090909091,65.9090909090909,59.67741935483871,54.03030303030303,81.06060606060606
38,14,14,Lorne Park,47.19,low,49,45.93,54,2,1,25.88,25.92,25.65,11.056,0.591,0,88,7.96,04:44,23:40,19.23,43.5,58.0,1.0,84.84848484848484,17.215151515151522,36.36363636363637,52.41935483870967,2.5151515151515156,81.06060606060606
39,73,73,Kamato,47.06,low,53,41.76,34,2,1,27.96,27.45,11.94,5.497,0.468,0,33,6.003,05:45,19:10,13.57,31.5,39.1,1.0,90.9090909090909,25.7,22.727272727272727,21.774193548387096,31.303030303030297,81.06060606060606
40,31,31,Ogden,45.71,low,8,57.42,100,2,1,20.23,19.95,23.78,7.963,0.419,0,45,5.651,04:00,25:52,22.2,30.0,31.3,1.0,38.63636363636363,39.169696969696965,78.78787878787878,11.29032258064516,46.45454545454546,81.06060606060606
41,49,49,McDowell,45.03,low,48,46.32,52,2,1,23.8,24.25,16.67,6.439,0.614,0,49,7.61,05:55,20:00,14.4,40.5,48.0,1.0,77.27272727272727,18.866666666666667,25.757575757575758,56.451612903225815,5.545454545454547,81.06060606060606
42,68,68,Terry Fox,43.31,low,51,44.01,34,2,1,21.77,21.41,28.71,10.274,0.523,0,56,5.451,05:10,25:18,20.52,75.0,75.9,1.0,57.57575757575758,8.2,54.54545454545454,35.483870967741936,52.515151515151516,81.06060606060606
43,15,15,Drew,42.25,low,32,51.62,65,2,1,22.03,21.94,31.62,11.519,0.557,0,77,6.685,05:06,24:40,19.98,32.0,39.6,0.97,62.121212121212125,29.760606060606055,48.484848484848484,43.54838709677419,17.666666666666657,37.121212121212125
44,74,74,Explorer,42.22,low,52,43.76,33,2,1,27.36,26.66,16.39,7.395,0.563,0,42,5.68,05:08,20:42,15.78,45.0,47.0,0.94,87.87878787878788,9.851515151515148,30.303030303030305,45.16129032258064,43.42424242424242,21.21212121212121
45,36,36,Ridgeway,41.85,low,27,52.47,66,2,1,22.42,21.65,33.24,12.262,0.183,0,75,6.116,05:41,26:15,21.0,41.0,44.0,1.0,68.18181818181817,20.881818181818183,56.060606060606055,1.6129032258064515,28.272727272727266,81.06060606060606
46,314,314,Rick Hansen SS,41.02,low,58,38.12,2,2,0,22.04,22.04,15.5,5.693,0.226,0,30,5.27,08:07,15:21,7.5,,,1.0,63.63636363636363,37.04545454545455,8.333333333333332,3.225806451612903,60.090909090909086,81.06060606060606
47,29,29,Park Royal,38.67,very low,18,54.98,68,2,1,22.17,20.56,41.34,14.709,0.36,0,96,6.527,04:18,25:17,21.62,38.0,50.0,0.94,65.15151515151516,26.003030303030293,70.45454545454545,6.451612903225806,22.212121212121218,21.21212121212121
48,306,306,Streetsville SS,38.62,very low,59,37.74,1,1,0,20.02,20.02,23.0,7.674,0.504,0,28,3.649,14:39,14:39,0.38,,,1.0,34.84848484848485,35.68181818181818,3.0303030303030303,30.64516129032258,78.27272727272728,81.06060606060606
49,38,38,Creditview,38.46,very low,15,56.32,77,2,1,20.58,19.26,76.17,25.376,0.423,0,147,5.793,04:30,24:40,21.03,30.0,42.0,0.97,45.45454545454545,35.07878787878787,57.57575757575758,12.903225806451612,40.39393939393939,37.121212121212125
50,28,28,Confederation,37.96,very low,1,68.44,129,2,1,17.67,16.62,24.38,6.976,0.552,0,54,7.741,04:55,24:20,19.67,19.0,22.4,0.98,10.606060606060606,69.60909090909091,42.42424242424242,41.935483870967744,4.030303030303031,48.484848484848484
51,302,302,Philip Pocock SS,37.11,very low,56,40.46,2,1,0,15.16,15.16,38.0,9.599,0.385,0,33,3.438,14:15,14:22,0.75,7.0,7.0,1.0,4.545454545454546,70.4121212121212,4.545454545454546,9.67741935483871,81.30303030303031,81.06060606060606
52,90,90,Terragar-Copenhagen Loop,36.86,very low,20,54.25,63,2,1,21.75,21.74,20.48,7.316,0.003,1,63,8.611,04:35,23:33,19.27,30.0,50.0,0.91,56.060606060606055,32.8060606060606,37.878787878787875,50.0,1.0,13.636363636363635
53,307,307,Philip Pocock SS,36.69,very low,55,40.71,2,2,0,18.82,18.82,32.0,10.035,0.717,0,67,6.677,07:12,14:22,7.7,,,1.0,19.696969696969695,37.04545454545455,10.606060606060606,72.58064516129032,19.181818181818173,81.06060606060606
54,24,24,Northwest,36.2,very low,42,49.19,36,2,0,22.64,22.05,42.31,15.913,0.476,0,90,5.656,04:40,18:18,14.32,35.0,37.0,0.89,71.21212121212122,22.298484848484847,24.242424242424242,24.193548387096776,44.939393939393945,10.606060606060606
55,10,10,Bristol,36.16,very low,3,64.36,102,2,1,19.78,19.17,62.78,20.427,0.443,0,142,6.952,04:38,25:08,21.28,25.0,31.0,0.96,31.818181818181817,49.41212121212121,63.63636363636363,16.129032258064516,10.090909090909093,28.78787878787879
56,312,312,Glenforest SS,35.84,very low,54,41.22,2,2,0,17.66,17.66,25.0,7.357,0.757,0,47,6.388,07:50,14:55,7.5,,,1.0,9.090909090909092,37.04545454545455,8.333333333333332,83.87096774193549,23.727272727272734,81.06060606060606
57,304,304,Father Goetz SS,34.63,very low,57,40.13,1,1,0,17.43,17.43,22.0,6.392,0.147,1,23,3.598,07:43,07:43,0.37,,,1.0,7.575757575757576,35.68181818181818,1.5151515151515151,50.0,79.78787878787878,81.06060606060606
58,46,46,Tenth Line,32.31,very low,13,56.37,62,2,1,19.73,19.06,34.15,11.102,0.524,0,68,6.125,04:15,25:23,21.6,44.0,48.0,0.94,30.303030303030305,16.601515151515144,68.18181818181817,37.096774193548384,26.75757575757575,21.21212121212121
59,315,315,Rick Hansen SS,32.05,very low,50,45.32,3,2,0,14.95,14.66,23.33,5.815,0.514,0,29,4.987,07:59,15:21,7.75,4.0,4.0,0.5,1.5151515151515151,72.94242424242424,12.121212121212121,33.87096774193548,63.121212121212125,2.272727272727273
60,6,6,Credit Woodlands,29.03,very low,2,65.01,93,2,1,18.39,17.66,37.12,11.176,0.373,0,85,7.605,05:00,26:18,21.77,28.0,35.0,0.94,15.151515151515152,40.268181818181816,74.24242424242425,8.064516129032258,7.060606060606062,21.21212121212121
61,16,16,Malton,27.34,very low,15,56.32,50,2,1,19.34,19.41,32.2,10.324,0.003,1,71,6.877,04:35,23:40,19.57,40.0,44.0,0.92,22.727272727272727,20.162121212121214,40.909090909090914,50.0,14.63636363636364,15.151515151515152
62,8,8,Cawthra,26.33,very low,5,62.99,71,2,1,18.6,17.83,44.75,13.447,0.479,0,90,6.693,04:56,23:40,19.28,35.0,42.2,0.97,16.666666666666664,28.20757575757576,39.39393939393939,25.806451612903224,16.151515151515156,37.121212121212125
63,313,313,Streetsville SS,24.68,very low,40,49.74,3,2,0,20.39,21.41,22.67,7.645,0.44,0,53,6.932,07:36,14:44,7.48,,,0.5,42.42424242424242,38.40909090909091,6.0606060606060606,14.516129032258066,11.606060606060609,2.272727272727273
64,4,4,North Service Road,24.64,very low,7,60.37,55,2,1,19.86,19.23,53.45,17.469,0.34,0,103,5.896,04:29,23:34,19.85,44.0,60.0,0.9,33.33333333333333,16.14696969696969,43.93939393939394,4.838709677419355,37.36363636363637,12.121212121212121
65,30,30,Rexdale,23.73,very low,9,57.28,48,2,1,19.14,19.05,43.77,13.872,0.492,0,84,6.055,04:30,24:22,20.47,55.0,58.0,0.85,21.21212121212121,10.503030303030307,53.03030303030303,27.419354838709676,29.787878787878782,7.575757575757576
66,321,321,Stephen Lewis SS,17.46,very low,18,54.98,5,2,0,14.96,14.98,23.0,5.733,0.455,0,30,5.233,07:59,15:25,7.85,33.0,43.4,0.67,3.0303030303030303,19.95757575757576,13.636363636363635,19.35483870967742,61.60606060606061,6.0606060606060606
