shape_id_text,shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
10392,10392,150048,-79.663685,43.547104
10392,10392,150049,-79.663573,43.547053
10392,10392,150050,-79.663493,43.547019
10392,10392,150051,-79.663447,43.547
10392,10392,150052,-79.663335,43.546959
10392,10392,150053,-79.663131,43.54688
10392,10392,150054,-79.662919,43.546885
10392,10392,150055,-79.662856,43.546889
10392,10392,150056,-79.662807,43.546896
10392,10392,150057,-79.662758,43.546904
10392,10392,150058,-79.662723,43.546912
10392,10392,150059,-79.662693,43.546921
10392,10392,150060,-79.662663,43.546929
10392,10392,150061,-79.662634,43.546939
10392,10392,150062,-79.662577,43.546962
10392,10392,150063,-79.662518,43.546993
10392,10392,150064,-79.662464,43.547029
10392,10392,150065,-79.662423,43.547059
10392,10392,150066,-79.662389,43.547085
10392,10392,150067,-79.662344,43.547122
10392,10392,150068,-79.662308,43.547154
10392,10392,150069,-79.662274,43.547189
10392,10392,150070,-79.662243,43.547226
10392,10392,150071,-79.662219,43.547263
10392,10392,150072,-79.662201,43.547296
10392,10392,150073,-79.662176,43.547351
10392,10392,150074,-79.662164,43.547397
10392,10392,150075,-79.662156,43.547438
10392,10392,150076,-79.662155,43.547477
10392,10392,150077,-79.662163,43.54752
10392,10392,150078,-79.662173,43.547553
10392,10392,150079,-79.66219,43.547586
10392,10392,150080,-79.66221,43.547618
10392,10392,150081,-79.662234,43.547649
10392,10392,150082,-79.662253,43.547669
10392,10392,150083,-79.66228,43.547691
10392,10392,150084,-79.662302,43.547706
10392,10392,150085,-79.662331,43.547725
10392,10392,150086,-79.66236,43.547741
10392,10392,150087,-79.662389,43.547752
10392,10392,150088,-79.662418,43.547763
10392,10392,150089,-79.662439,43.547769
10392,10392,150090,-79.662462,43.547774
10392,10392,150091,-79.662494,43.547781
10392,10392,150092,-79.662519,43.547784
10392,10392,150093,-79.662549,43.547785
10392,10392,150094,-79.662711,43.547785
10392,10392,150095,-79.663041,43.54778
10392,10392,150096,-79.663109,43.547778
10392,10392,150097,-79.663178,43.547777
10392,10392,150098,-79.663233,43.547776
10392,10392,150099,-79.663374,43.547778
10392,10392,150100,-79.663608,43.547787
10392,10392,160001,-79.663608,43.547787
10392,10392,160002,-79.663616,43.547787
10392,10392,160003,-79.663714,43.547793
10392,10392,160004,-79.664043,43.547814
10392,10392,160005,-79.664238,43.547819
10392,10392,160006,-79.66433,43.547818
10392,10392,160007,-79.66441,43.547815
10392,10392,160008,-79.664471,43.54781
10392,10392,160009,-79.664526,43.547804
10392,10392,160010,-79.664575,43.5478
10392,10392,160011,-79.664626,43.547793
10392,10392,160012,-79.664685,43.547785
10392,10392,160013,-79.664773,43.54777
10392,10392,160014,-79.664826,43.547761
10392,10392,160015,-79.664876,43.547752
10392,10392,160016,-79.664941,43.547738
10392,10392,160017,-79.664988,43.547725
10392,10392,160018,-79.665029,43.547714
10392,10392,160019,-79.665211,43.547652
10392,10392,160020,-79.665043,43.54737
10392,10392,160021,-79.665089,43.54736
10392,10392,160022,-79.665157,43.547343
10392,10392,160023,-79.665215,43.547327
10392,10392,160024,-79.665254,43.547316
10392,10392,160025,-79.665301,43.547301
10392,10392,160026,-79.665338,43.547288
10392,10392,160027,-79.665384,43.547271
10392,10392,160028,-79.665425,43.547254
10392,10392,160029,-79.665468,43.547236
10392,10392,160030,-79.665547,43.547199
10392,10392,160031,-79.665614,43.547167
10392,10392,160032,-79.665674,43.547141
10392,10392,160033,-79.665759,43.547104
10392,10392,160034,-79.665861,43.547057
10392,10392,160035,-79.666119,43.546941
10392,10392,160036,-79.665803,43.546699
10392,10392,160037,-79.66447,43.545804
10392,10392,160038,-79.664217,43.54566
10392,10392,160039,-79.663687,43.545374
10392,10392,160040,-79.662945,43.545009
10392,10392,170001,-79.662945,43.545009
10392,10392,170002,-79.662734,43.544906
10392,10392,170003,-79.662287,43.544686
10392,10392,170004,-79.661269,43.544217
10392,10392,170005,-79.660913,43.544036
10392,10392,170006,-79.660769,43.543939
10392,10392,170007,-79.660678,43.543858
10392,10392,170008,-79.660622,43.5438
10392,10392,170009,-79.660501,43.543664
10392,10392,170010,-79.660441,43.543598
10392,10392,170011,-79.660241,43.543386
10392,10392,170012,-79.660041,43.543162
