route_id,route_short_name,route_long_name,scheduled_trips,directions,unique_shapes,avg_shape_path_km,median_shape_path_km,max_shape_path_km,avg_straight_line_km,avg_directness_ratio,unique_stops,total_stop_visits,avg_stops_per_trip,stops_per_km
312,312,Glenforest SS,2.0,2.0,2.0,7.357,7.357,7.403,5.566,0.757,47,47,23.5,6.388
2,2,Hurontario,232.0,2.0,3.0,8.31,8.229,8.407,6.414,0.772,55,6605,28.47,6.619
51,51,Tomken,129.0,2.0,5.0,17.27,11.041,18.228,13.529,0.783,81,5277,40.907,4.69
42,42,Derry,171.0,2.0,2.0,22.147,22.148,22.152,18.062,0.816,93,8027,46.942,4.199
1,1,Dundas,172.0,2.0,3.0,21.377,21.442,23.001,17.858,0.836,127,11138,64.756,5.941
5,5,Dixie,141.0,2.0,2.0,16.895,16.902,17.796,14.272,0.847,90,6481,45.965,5.327
101,101,Dundas Express,137.0,2.0,2.0,21.088,21.091,21.405,17.901,0.849,33,2397,17.496,1.565
23,23,Lakeshore,96.0,2.0,2.0,12.767,12.767,13.085,11.347,0.889,88,4512,47.0,6.893
17,17,Hurontario,146.0,2.0,2.0,9.303,9.304,9.376,8.269,0.889,45,3432,23.507,4.837
66,66,McLaughlin,202.0,2.0,2.0,11.482,11.483,11.518,10.36,0.902,61,6264,31.01,5.313
103,103,Hurontario Express,104.0,2.0,2.0,14.905,14.905,14.98,14.424,0.968,35,1872,18.0,2.348
