route_id,route_short_name,route_long_name,scheduled_trips,directions,avg_trip_distance_km,median_trip_distance_km,avg_duration_min,median_duration_min,p10_duration_min,p90_duration_min,avg_scheduled_speed_kmh,median_scheduled_speed_kmh,p10_scheduled_speed_kmh,p90_scheduled_speed_kmh,min_scheduled_speed_kmh,max_scheduled_speed_kmh,avg_stop_count,duration_spread_min,speed_spread_kmh,share_trips_under_15_kmh
36,36,Ridgeway,66,2,12.26,12.26,33.24,35.0,27.0,37.0,22.42,21.65,19.23,26.62,18.71,29.97,38.5,10.0,7.4,0.0
20,20,Rathburn,104,2,13.66,13.63,37.07,38.0,29.3,43.0,22.51,21.63,19.12,27.92,17.4,29.36,37.47,13.7,8.8,0.0
24,24,Northwest,36,2,15.91,15.68,42.31,43.0,39.0,45.0,22.64,22.05,21.39,24.76,21.09,26.14,46.53,6.0,3.38,0.0
7,7,Airport,108,2,25.83,25.83,67.04,69.0,54.0,77.0,23.5,22.46,20.15,28.67,19.35,32.25,55.0,23.0,8.52,0.0
44,44,Mississauga Road,102,2,14.96,14.96,38.28,39.0,33.0,41.0,23.58,22.77,21.58,26.81,21.58,28.47,47.5,8.0,5.23,0.0
126,126,Burnhamthorpe Express,49,2,19.4,19.27,49.61,49.0,45.8,54.2,23.58,23.6,21.64,25.53,20.22,27.27,14.51,8.4,3.9,0.0
49,49,McDowell,52,2,6.44,6.33,16.67,16.0,12.0,23.0,23.8,24.25,20.18,27.05,18.14,28.66,18.81,11.0,6.87,0.0
25,25,Traders Loop,21,1,7.69,7.69,19.43,20.0,18.0,20.0,23.81,23.07,23.07,25.63,21.97,27.14,26.0,2.0,2.56,0.0
57,57,Courtneypark,116,2,23.34,23.52,59.03,58.0,49.5,69.0,24.02,23.52,20.33,28.79,19.02,32.07,42.44,19.5,8.47,0.0
43,43,Matheson,18,2,24.19,24.19,59.94,60.5,56.8,63.3,24.27,23.99,22.9,25.62,22.3,26.92,68.0,6.5,2.71,0.0
35,35,Eglinton,159,2,28.58,29.26,70.36,71.0,61.0,80.0,24.61,23.91,21.67,28.33,20.67,33.12,58.5,19.0,6.65,0.0
14,14,Lorne Park,54,2,11.06,9.12,25.65,22.0,19.0,40.0,25.88,25.92,22.81,29.93,21.05,31.09,38.78,21.0,7.12,0.0
107,107,Malton Express,147,2,25.18,25.46,58.03,58.0,51.6,65.0,26.25,26.21,23.2,29.38,22.3,31.83,23.0,13.4,6.18,0.0
74,74,Explorer,33,2,7.39,6.83,16.39,17.0,14.0,19.0,27.36,26.66,25.26,31.06,22.76,37.24,21.48,5.0,5.8,0.0
135,135,Eglinton Express,54,2,28.28,28.28,62.0,62.0,60.0,64.0,27.39,27.39,26.74,28.03,26.74,28.03,18.0,4.0,1.29,0.0
73,73,Kamato,34,2,5.5,5.5,11.94,11.5,8.0,15.7,27.96,27.45,24.13,32.77,23.38,33.13,17.0,7.7,8.63,0.0
71,71,Sheridan,8,2,24.92,24.52,53.0,56.0,46.7,58.0,28.53,26.27,25.36,32.88,25.36,33.38,24.62,11.3,7.52,0.0
110,110,University Express,118,2,19.18,18.83,37.47,40.0,17.7,45.0,31.64,30.65,26.28,39.43,24.56,43.73,9.24,27.3,13.15,0.0
70,70,Keaton,28,2,24.47,24.19,46.25,46.5,37.7,55.3,32.43,31.21,26.24,39.47,25.91,40.21,30.0,17.6,13.23,0.0
109,109,Meadowvale Express,162,2,35.0,35.2,60.47,61.0,53.0,68.0,35.02,34.23,31.05,39.8,30.6,43.1,20.0,15.0,8.74,0.0
11,11,Westwood,172,2,16.84,16.95,28.75,29.0,25.0,33.0,35.64,35.07,30.82,40.68,27.89,47.81,16.01,8.0,9.86,0.0
108,108,Financial Express,26,2,31.48,31.48,50.46,49.5,42.0,61.5,38.17,37.82,31.3,44.46,30.55,48.75,28.5,19.5,13.17,0.0
