shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10392,43.547359,-79.664373,150040,5.130
10392,43.547350,-79.664335,150041,5.133
10392,43.547337,-79.664292,150042,5.137
10392,43.547317,-79.664231,150043,5.142
10392,43.547297,-79.664168,150044,5.148
10392,43.547274,-79.664103,150045,5.154
10392,43.547248,-79.664037,150046,5.160
10392,43.547223,-79.663977,150047,5.165
10392,43.547104,-79.663685,150048,5.192
10392,43.547053,-79.663573,150049,5.203
10392,43.547019,-79.663493,150050,5.210
10392,43.547000,-79.663447,150051,5.215
10392,43.546959,-79.663335,150052,5.225
10392,43.546880,-79.663131,150053,5.244
10392,43.546885,-79.662919,150054,5.261
10392,43.546889,-79.662856,150055,5.266
10392,43.546896,-79.662807,150056,5.270
10392,43.546904,-79.662758,150057,5.274
10392,43.546912,-79.662723,150058,5.277
10392,43.546921,-79.662693,150059,5.279
10392,43.546929,-79.662663,150060,5.282
10392,43.546939,-79.662634,150061,5.285
10392,43.546962,-79.662577,150062,5.290
10392,43.546993,-79.662518,150063,5.296
10392,43.547029,-79.662464,150064,5.301
10392,43.547059,-79.662423,150065,5.306
10392,43.547085,-79.662389,150066,5.310
10392,43.547122,-79.662344,150067,5.316
10392,43.547154,-79.662308,150068,5.320
10392,43.547189,-79.662274,150069,5.325
10392,43.547226,-79.662243,150070,5.330
10392,43.547263,-79.662219,150071,5.335
10392,43.547296,-79.662201,150072,5.338
10392,43.547351,-79.662176,150073,5.345
10392,43.547397,-79.662164,150074,5.350
10392,43.547438,-79.662156,150075,5.355
10392,43.547477,-79.662155,150076,5.359
10392,43.547520,-79.662163,150077,5.364
10392,43.547553,-79.662173,150078,5.368
10392,43.547586,-79.662190,150079,5.372
10392,43.547618,-79.662210,150080,5.375
10392,43.547649,-79.662234,150081,5.379
10392,43.547669,-79.662253,150082,5.382
10392,43.547691,-79.662280,150083,5.385
10392,43.547706,-79.662302,150084,5.388
10392,43.547725,-79.662331,150085,5.391
10392,43.547741,-79.662360,150086,5.394
10392,43.547752,-79.662389,150087,5.397
10392,43.547763,-79.662418,150088,5.399
10392,43.547769,-79.662439,150089,5.401
10392,43.547774,-79.662462,150090,5.403
10392,43.547781,-79.662494,150091,5.406
10392,43.547784,-79.662519,150092,5.408
10392,43.547785,-79.662549,150093,5.410
10392,43.547785,-79.662711,150094,5.423
10392,43.547780,-79.663041,150095,5.450
10392,43.547778,-79.663109,150096,5.455
10392,43.547777,-79.663178,150097,5.461
10392,43.547776,-79.663233,150098,5.465
10392,43.547778,-79.663374,150099,5.477
10392,43.547787,-79.663608,150100,5.496
10392,43.547787,-79.663608,160001,5.496
10392,43.547787,-79.663616,160002,5.496
10392,43.547793,-79.663714,160003,5.504
10392,43.547814,-79.664043,160004,5.531
10392,43.547819,-79.664238,160005,5.547
10392,43.547818,-79.664330,160006,5.554
10392,43.547815,-79.664410,160007,5.561
10392,43.547810,-79.664471,160008,5.566
10392,43.547804,-79.664526,160009,5.570
10392,43.547800,-79.664575,160010,5.574
10392,43.547793,-79.664626,160011,5.578
10392,43.547785,-79.664685,160012,5.583
10392,43.547770,-79.664773,160013,5.590
10392,43.547761,-79.664826,160014,5.595
10392,43.547752,-79.664876,160015,5.599
10392,43.547738,-79.664941,160016,5.604
10392,43.547725,-79.664988,160017,5.608
10392,43.547714,-79.665029,160018,5.612
10392,43.547652,-79.665211,160019,5.628
10392,43.547370,-79.665043,160020,5.662
10392,43.547360,-79.665089,160021,5.666
10392,43.547343,-79.665157,160022,5.672
10392,43.547327,-79.665215,160023,5.677
10392,43.547316,-79.665254,160024,5.680
10392,43.547301,-79.665301,160025,5.684
10392,43.547288,-79.665338,160026,5.688
10392,43.547271,-79.665384,160027,5.692
10392,43.547254,-79.665425,160028,5.696
10392,43.547236,-79.665468,160029,5.700
10392,43.547199,-79.665547,160030,5.707
10392,43.547167,-79.665614,160031,5.714
10392,43.547141,-79.665674,160032,5.720
10392,43.547104,-79.665759,160033,5.728
10392,43.547057,-79.665861,160034,5.737
10392,43.546941,-79.666119,160035,5.762
10392,43.546699,-79.665803,160036,5.799
10392,43.545804,-79.664470,160037,5.946
10392,43.545660,-79.664217,160038,5.971
10392,43.545374,-79.663687,160039,6.025
10392,43.545009,-79.662945,160040,6.097
10392,43.545009,-79.662945,170001,6.097
10392,43.544906,-79.662734,170002,6.118
10392,43.544686,-79.662287,170003,6.161
10392,43.544217,-79.661269,170004,6.259
10392,43.544036,-79.660913,170005,6.294
10392,43.543939,-79.660769,170006,6.310
10392,43.543858,-79.660678,170007,6.321
10392,43.543800,-79.660622,170008,6.329
10392,43.543664,-79.660501,170009,6.347
10392,43.543598,-79.660441,170010,6.356
10392,43.543386,-79.660241,170011,6.384
10392,43.543162,-79.660041,170012,6.414
10392,43.543162,-79.660041,180001,6.414
10392,43.543113,-79.659997,180002,6.421
10392,43.542922,-79.659810,180003,6.447
10392,43.542689,-79.659557,180004,6.480
10392,43.542568,-79.659342,180005,6.502
10392,43.543218,-79.658076,180006,6.627
10392,43.544204,-79.656147,180007,6.817
10392,43.544366,-79.655824,180008,6.849
10392,43.544570,-79.655417,180009,6.889
10392,43.544749,-79.655061,180010,6.924
10392,43.544749,-79.655061,190001,6.924
10392,43.545174,-79.654208,190002,7.008
10392,43.545210,-79.654137,190003,7.014
10392,43.545302,-79.653954,190004,7.032
10392,43.545403,-79.653790,190005,7.050
10392,43.545496,-79.653641,190006,7.066
10392,43.545641,-79.653419,190007,7.090
10392,43.545889,-79.653087,190008,7.128
10392,43.546008,-79.652931,190009,7.147
10392,43.546008,-79.652931,200001,7.147
10392,43.546098,-79.652811,200002,7.160
10392,43.546938,-79.651722,200003,7.289
10392,43.546952,-79.651704,200004,7.291
10392,43.546991,-79.651655,200005,7.297
10392,43.547013,-79.651627,200006,7.300
10392,43.547074,-79.651553,200007,7.309
10392,43.547200,-79.651409,200008,7.327
10392,43.547264,-79.651339,200009,7.337
10392,43.547329,-79.651271,200010,7.346
10392,43.547395,-79.651204,200011,7.355
10392,43.547462,-79.651139,200012,7.364
10392,43.547529,-79.651076,200013,7.373
10392,43.547565,-79.651044,200014,7.378
10392,43.547643,-79.650975,200015,7.388
10392,43.547722,-79.650908,200016,7.398
10392,43.547801,-79.650843,200017,7.409
10392,43.547882,-79.650781,200018,7.419
10392,43.547963,-79.650718,200019,7.429
10392,43.548044,-79.650658,200020,7.439
10392,43.548127,-79.650601,200021,7.449
10392,43.548210,-79.650544,200022,7.460
10392,43.548293,-79.650489,200023,7.470
10392,43.548378,-79.650437,200024,7.480
10392,43.548548,-79.650336,200025,7.501
10392,43.548634,-79.650290,200026,7.511
10392,43.548721,-79.650245,200027,7.521
10392,43.548808,-79.650201,200028,7.532
10392,43.548895,-79.650159,200029,7.542
10392,43.548915,-79.650150,200030,7.544
10392,43.548983,-79.650119,200031,7.552
10392,43.548992,-79.650115,200032,7.553
10392,43.548992,-79.650115,210001,7.553
10392,43.550583,-79.649387,210002,7.739
10392,43.550702,-79.649333,210003,7.753
10392,43.550875,-79.649249,210004,7.774
10392,43.551048,-79.649165,210005,7.794
10392,43.551221,-79.649078,210006,7.815
10392,43.551394,-79.648990,210007,7.835
10392,43.551513,-79.648928,210008,7.849
10392,43.551513,-79.648928,220001,7.849
10392,43.551565,-79.648900,220002,7.856
10392,43.551714,-79.648820,220003,7.873
10392,43.551736,-79.648808,220004,7.876
10392,43.551907,-79.648714,220005,7.896
10392,43.552027,-79.648628,220006,7.911
10392,43.552422,-79.648348,220007,7.961
10392,43.552693,-79.648106,220008,7.997
10392,43.552952,-79.647855,220009,8.032
10392,43.553146,-79.647645,220010,8.059
10392,43.553146,-79.647645,230001,8.059
10392,43.553217,-79.647568,230002,8.069
10392,43.555100,-79.645448,230003,8.340
10392,43.555100,-79.645448,240001,8.340
10392,43.555281,-79.645245,240002,8.366
10392,43.555534,-79.644951,240003,8.402
10392,43.555784,-79.644662,240004,8.439
10392,43.556226,-79.644152,240005,8.503
10392,43.557089,-79.643138,240006,8.629
10392,43.557224,-79.642989,240007,8.648
10392,43.557224,-79.642989,250001,8.648
10392,43.557399,-79.642794,250002,8.673
10392,43.557852,-79.642280,250003,8.738
10392,43.558489,-79.641528,250004,8.831
10392,43.560307,-79.639414,250005,9.096
10392,43.560307,-79.639414,260001,9.096
10392,43.560430,-79.639271,260002,9.114
10392,43.560530,-79.639154,260003,9.128
10392,43.561390,-79.638156,260004,9.253
10392,43.562464,-79.636909,260005,9.409
10392,43.562708,-79.636626,260006,9.445
10392,43.562888,-79.636424,260007,9.471
10392,43.562888,-79.636424,270001,9.471
10392,43.563131,-79.636154,270002,9.505
10392,43.563303,-79.635961,270003,9.530
10392,43.564462,-79.634633,270004,9.698
10392,43.564726,-79.634322,270005,9.736
10392,43.565414,-79.633600,270006,9.832
10392,43.565414,-79.633600,280001,9.832
10392,43.566025,-79.632958,280002,9.918
10392,43.566907,-79.631954,280003,10.045
10392,43.567999,-79.630750,280004,10.200
10392,43.567999,-79.630750,290001,10.200
10392,43.568155,-79.630577,290002,10.223
10392,43.569369,-79.629144,290003,10.400
10392,43.570450,-79.627887,290004,10.558
10392,43.570450,-79.627887,300001,10.558
10392,43.570587,-79.627727,300002,10.578
10392,43.571995,-79.625992,300003,10.788
10392,43.572459,-79.625432,300004,10.856
10392,43.572673,-79.625175,300005,10.888
10392,43.573280,-79.624436,300006,10.978
10392,43.573547,-79.624118,300007,11.017
10392,43.573547,-79.624118,310001,11.017
10392,43.573660,-79.623984,310002,11.034
10392,43.574446,-79.623071,310003,11.148
10392,43.575202,-79.622204,310004,11.257
10392,43.575566,-79.621778,310005,11.310
10392,43.575566,-79.621778,320001,11.310
10392,43.575765,-79.621546,320002,11.339
10392,43.576276,-79.620946,320003,11.414
10392,43.576921,-79.620199,320004,11.508
10392,43.577580,-79.619450,320005,11.603
10392,43.577843,-79.619145,320006,11.641
10392,43.577843,-79.619145,330001,11.641
10392,43.578036,-79.618921,330002,11.669
10392,43.578568,-79.618309,330003,11.746
10392,43.579059,-79.617747,330004,11.817
10392,43.579588,-79.617133,330005,11.894
10392,43.580246,-79.616407,330006,11.987
10392,43.580467,-79.616152,330007,12.019
10392,43.580467,-79.616152,340001,12.019
10392,43.581288,-79.615201,340002,12.139
10392,43.581726,-79.614706,340003,12.202
10392,43.581726,-79.614706,350001,12.202
10392,43.581907,-79.614503,350002,12.228
10392,43.582032,-79.614358,350003,12.246
10392,43.582443,-79.613885,350004,12.305
10392,43.583210,-79.612984,350005,12.417
10392,43.583210,-79.612984,360001,12.417
10392,43.583511,-79.612630,360002,12.461
10392,43.583689,-79.612429,360003,12.487
10392,43.584802,-79.611139,360004,12.649
10392,43.585209,-79.610670,360005,12.707
10392,43.585209,-79.610670,370001,12.707
10392,43.586004,-79.609755,370002,12.823
10392,43.587461,-79.608121,370003,13.031
10392,43.587461,-79.608121,380001,13.031
10392,43.587621,-79.607940,380002,13.055
10392,43.588366,-79.607096,380003,13.162
10392,43.588633,-79.606793,380004,13.200
10392,43.588633,-79.606793,390001,13.200
10392,43.588786,-79.606621,390002,13.222
10392,43.589261,-79.606090,390003,13.290
10392,43.590523,-79.604676,390004,13.471
10392,43.591659,-79.603390,390005,13.634
10392,43.591871,-79.603151,390006,13.665
10392,43.593565,-79.601245,390007,13.908
10392,43.593565,-79.601245,400001,13.908
10392,43.593760,-79.601026,400002,13.936
10392,43.594604,-79.600070,400003,14.057
10392,43.594947,-79.599689,400004,14.106
10392,43.594947,-79.599689,410001,14.106
10392,43.596482,-79.597983,410002,14.325
10392,43.597420,-79.596961,410003,14.458
10392,43.597420,-79.596961,420001,14.458
10392,43.597638,-79.596721,420002,14.489
10392,43.598847,-79.595395,420003,14.661
10392,43.598847,-79.595395,430001,14.661
10392,43.598918,-79.595316,430002,14.671
10392,43.600432,-79.593654,430003,14.886
10392,43.600432,-79.593654,440001,14.886
10392,43.600538,-79.593538,440002,14.901
10392,43.601851,-79.592129,440003,15.086
10392,43.603149,-79.590731,440004,15.269
10392,43.603149,-79.590731,450001,15.269
10392,43.603399,-79.590462,450002,15.304
10392,43.604381,-79.589382,450003,15.444
10392,43.605124,-79.588555,450004,15.550
10392,43.605124,-79.588555,460001,15.550
10392,43.605425,-79.588220,460002,15.593
10392,43.606674,-79.586838,460003,15.771
10392,43.606674,-79.586838,470001,15.771
10392,43.606914,-79.586572,470002,15.805
10392,43.608881,-79.584360,470003,16.088
10392,43.608881,-79.584360,480001,16.088
10392,43.609306,-79.583881,480002,16.149
10392,43.609459,-79.583707,480003,16.171
10392,43.609459,-79.583707,490001,16.171
10392,43.611271,-79.581633,490002,16.433
10392,43.611271,-79.581633,500001,16.433
10392,43.611423,-79.581458,500002,16.454
10392,43.612582,-79.580201,500003,16.619
10392,43.612582,-79.580201,510001,16.619
10392,43.612681,-79.580094,510002,16.632
10392,43.613425,-79.579294,510003,16.737
10392,43.614249,-79.578423,510004,16.853
10392,43.614249,-79.578423,520001,16.853
10392,43.614442,-79.578219,520002,16.880
10392,43.615057,-79.577576,520003,16.966
10392,43.616045,-79.576513,520004,17.105
10392,43.616045,-79.576513,530001,17.105
10392,43.616209,-79.576338,530002,17.128
10392,43.616374,-79.576160,530003,17.151
10392,43.617449,-79.575051,530004,17.300
10392,43.618687,-79.573733,530005,17.474
10392,43.618687,-79.573733,540001,17.474
10392,43.618701,-79.573717,540002,17.476
10392,43.619032,-79.573364,540003,17.523
10392,43.620079,-79.572264,540004,17.669
10392,43.620717,-79.571606,540005,17.758
10392,43.621677,-79.570638,540006,17.890
10392,43.622003,-79.570288,540007,17.936
10392,43.622003,-79.570288,550001,17.936
10392,43.622358,-79.569908,550002,17.986
10392,43.624225,-79.567942,550003,18.247
10392,43.624633,-79.567516,550004,18.304
10392,43.624633,-79.567516,560001,18.304
10392,43.624821,-79.567321,560002,18.330
10392,43.625224,-79.566905,560003,18.386
10392,43.625536,-79.566577,560004,18.429
10392,43.625653,-79.566456,560005,18.446
10392,43.625769,-79.566325,560006,18.462
10392,43.625836,-79.566243,560007,18.472
10392,43.625937,-79.566118,560008,18.487
10392,43.625989,-79.566050,560009,18.495
10392,43.626080,-79.565929,560010,18.509
10392,43.626163,-79.565810,560011,18.523
10392,43.626260,-79.565657,560012,18.539
10392,43.626279,-79.565625,560013,18.542
10392,43.626279,-79.565625,570001,18.542
10392,43.626320,-79.565560,570002,18.549
10392,43.626367,-79.565475,570003,18.558
10392,43.626411,-79.565398,570004,18.566
10392,43.626456,-79.565315,570005,18.574
10392,43.626540,-79.565155,570006,18.590
10392,43.626581,-79.565069,570007,18.598
10392,43.626627,-79.564969,570008,18.608
10392,43.626663,-79.564883,570009,18.616
10392,43.626701,-79.564793,570010,18.624
10392,43.626733,-79.564707,570011,18.632
10392,43.626769,-79.564614,570012,18.640
10392,43.626798,-79.564532,570013,18.648
10392,43.626834,-79.564426,570014,18.657
